id,date,roundId,player1Id,player2Id,tournamentId,match_winner,result,player1.id,player1.name,player1.countryAcr,player2.id,player2.name,player2.countryAcr
1110779,2024-07-29T00:00:00.000Z,5,5992,677,19400,5992,6-1 6-4,5992,Novak Djokovic,SRB,677,Rafael Nadal,ESP
914314,2022-05-31T00:00:00.000Z,9,677,5992,17563,677,6-2 4-6 6-2 7-6(4),677,Rafael Nadal,ESP,5992,Novak Djokovic,SRB
867046,2021-06-11T00:00:00.000Z,10,5992,677,16911,5992,3-6 6-3 7-6(4) 6-2,5992,Novak Djokovic,SRB,677,Rafael Nadal,ESP
866831,2021-05-16T00:00:00.000Z,12,677,5992,16908,677,7-5 1-6 6-3,677,Rafael Nadal,ESP,5992,Novak Djokovic,SRB
842741,2020-10-11T00:00:00.000Z,12,677,5992,16462,677,6-0 6-2 7-5,677,Rafael Nadal,ESP,5992,Novak Djokovic,SRB
841259,2020-01-12T00:00:00.000Z,12,5992,677,16431,5992,6-2 7-6(4),5992,Novak Djokovic,SRB,677,Rafael Nadal,ESP
789522,2019-05-19T00:00:00.000Z,12,677,5992,15630,677,6-0 4-6 6-1,677,Rafael Nadal,ESP,5992,Novak Djokovic,SRB
787591,2019-01-27T00:00:00.000Z,12,5992,677,15606,5992,6-3 6-2 6-3,5992,Novak Djokovic,SRB,677,Rafael Nadal,ESP
722754,2018-07-14T00:00:00.000Z,10,5992,677,14741,5992,6-4 3-6 7-6(9) 3-6 10-8,5992,Novak Djokovic,SRB,677,Rafael Nadal,ESP
721860,2018-05-19T00:00:00.000Z,10,677,5992,14730,677,7-6(4) 6-3,677,Rafael Nadal,ESP,5992,Novak Djokovic,SRB
